class,cap-shape,cap-surface,cap-color,bruises,odor,gill-attachment,gill-spacing,gill-size,gill-color,stalk-shape,stalk-root,stalk-surface-above-ring,stalk-surface-below-ring,stalk-color-above-ring,stalk-color-below-ring,veil-type,veil-color,ring-number,ring-type,spore-print-color,population,habitat
e,f,f,g,False,n,f,w,b,k,t,e,f,f,w,w,p,w,o,e,k,a,g
e,x,f,n,False,n,f,w,b,k,t,e,f,s,w,w,p,w,o,e,n,s,g
e,x,s,n,False,n,f,w,b,k,t,e,s,f,w,w,p,w,o,e,n,s,g
e,f,s,w,True,l,f,w,n,n,t,b,s,s,w,w,p,w,o,p,u,v,d
e,x,f,w,False,n,f,w,b,h,t,e,s,s,w,w,p,w,o,e,n,a,g
e,x,s,w,False,n,f,w,b,h,t,e,f,s,w,w,p,w,o,e,k,a,g
e,x,s,g,False,n,f,w,b,k,t,e,f,s,w,w,p,w,o,e,k,s,g
e,x,y,e,True,n,f,c,b,p,t,b,s,s,w,p,p,w,o,p,k,v,d
e,f,f,n,True,n,f,c,b,n,t,b,s,s,g,p,p,w,o,p,k,v,d
e,x,f,n,True,n,f,c,b,n,t,b,s,s,w,w,p,w,o,p,k,v,d
e,f,f,w,False,n,f,w,b,k,t,e,s,s,w,w,p,w,o,e,k,s,g
e,f,s,n,False,n,f,w,b,n,t,e,f,s,w,w,p,w,o,e,n,s,g
p,f,s,w,True,p,f,c,n,k,e,e,s,s,w,w,p,w,o,p,n,v,u
e,f,f,n,False,n,f,w,b,p,t,e,f,f,w,w,p,w,o,e,n,s,g
e,x,y,g,True,n,f,c,b,w,t,b,s,s,g,g,p,w,o,p,n,y,d
e,x,y,g,True,n,f,c,b,n,t,b,s,s,g,g,p,w,o,p,n,v,d
e,x,f,g,False,n,f,w,b,p,t,e,s,s,w,w,p,w,o,e,n,a,g
e,x,f,g,True,n,f,c,b,w,t,b,s,s,p,p,p,w,o,p,n,v,d
e,x,y,e,True,n,f,c,b,u,t,b,s,s,p,p,p,w,o,p,n,v,d
e,x,f,g,True,n,f,c,b,p,t,b,s,s,g,p,p,w,o,p,k,y,d
e,x,f,g,True,n,f,c,b,u,t,b,s,s,p,w,p,w,o,p,n,v,d
e,x,f,n,True,n,f,c,b,p,t,b,s,s,p,g,p,w,o,p,k,v,d
p,x,s,w,True,p,f,c,n,p,e,e,s,s,w,w,p,w,o,p,k,v,g
e,x,f,n,False,n,f,w,b,k,t,e,s,s,w,w,p,w,o,e,k,s,g
e,x,y,n,True,n,f,c,b,w,t,b,s,s,p,p,p,w,o,p,n,v,d
e,x,f,g,True,n,f,c,b,p,t,b,s,s,w,g,p,w,o,p,n,y,d
p,f,y,n,True,p,f,c,n,w,e,e,s,s,w,w,p,w,o,p,n,s,g
e,x,f,g,True,n,f,c,b,u,t,b,s,s,w,g,p,w,o,p,k,y,d
e,x,f,g,False,n,f,w,b,h,t,e,s,f,w,w,p,w,o,e,k,s,g
e,x,f,e,True,n,f,c,b,u,t,b,s,s,g,g,p,w,o,p,k,v,d
e,f,f,n,False,n,f,w,b,k,t,e,f,s,w,w,p,w,o,e,n,s,g
e,f,s,w,False,n,f,w,b,h,t,e,f,f,w,w,p,w,o,e,n,a,g
e,f,s,n,False,n,f,w,b,p,t,e,s,s,w,w,p,w,o,e,k,s,g
e,x,y,e,True,n,f,c,b,w,t,b,s,s,w,g,p,w,o,p,n,v,d
e,f,s,n,False,n,f,w,b,k,t,e,f,f,w,w,p,w,o,e,k,s,g
e,f,f,n,True,n,f,c,b,n,t,b,s,s,p,p,p,w,o,p,n,v,d
e,f,s,w,False,n,f,w,b,h,t,e,s,s,w,w,p,w,o,e,k,s,g
e,x,f,n,False,n,f,w,b,k,t,e,f,f,w,w,p,w,o,e,k,a,g
e,f,f,n,False,n,f,w,b,h,t,e,s,f,w,w,p,w,o,e,n,s,g
p,x,s,n,True,p,f,c,n,w,e,e,s,s,w,w,p,w,o,p,k,v,u
e,x,f,n,True,n,f,c,b,p,t,b,s,s,w,w,p,w,o,p,k,y,d
e,f,s,n,False,n,f,w,b,k,t,e,f,s,w,w,p,w,o,e,n,s,g
p,f,y,w,True,p,f,c,n,n,e,e,s,s,w,w,p,w,o,p,n,s,g
e,x,f,n,True,n,f,c,b,n,t,b,s,s,p,g,p,w,o,p,n,v,d
e,x,f,g,True,n,f,c,b,u,t,b,s,s,w,p,p,w,o,p,n,y,d
e,f,f,n,False,n,f,w,b,p,t,e,f,f,w,w,p,w,o,e,n,a,g
e,x,f,e,True,n,f,c,b,p,t,b,s,s,g,g,p,w,o,p,k,v,d
e,f,f,w,False,n,f,w,b,p,t,e,s,s,w,w,p,w,o,e,n,s,g
e,x,f,w,False,n,f,w,b,h,t,e,f,f,w,w,p,w,o,e,k,s,g
e,x,y,w,True,l,f,c,b,k,e,c,s,s,w,w,p,w,o,p,k,n,m
e,x,s,w,False,n,f,w,b,p,t,e,f,s,w,w,p,w,o,e,n,s,g
e,x,y,g,True,n,f,c,b,u,t,b,s,s,p,g,p,w,o,p,n,v,d
e,x,f,g,True,n,f,c,b,n,t,b,s,s,g,w,p,w,o,p,k,y,d
e,x,s,g,False,n,f,w,b,n,t,e,f,s,w,w,p,w,o,e,n,a,g
p,f,y,w,True,p,f,c,n,n,e,e,s,s,w,w,p,w,o,p,n,s,u
e,x,f,e,True,n,f,c,b,w,t,b,s,s,w,p,p,w,o,p,n,v,d
p,f,s,n,True,p,f,c,n,n,e,e,s,s,w,w,p,w,o,p,k,s,u
p,f,y,n,True,p,f,c,n,w,e,e,s,s,w,w,p,w,o,p,n,v,g
e,x,f,g,True,n,f,c,b,p,t,b,s,s,p,p,p,w,o,p,n,v,d
e,f,s,n,False,n,f,w,b,h,t,e,s,f,w,w,p,w,o,e,n,a,g
e,x,f,g,True,n,f,c,b,p,t,b,s,s,g,w,p,w,o,p,n,y,d
e,x,f,n,False,n,f,w,b,h,t,e,s,f,w,w,p,w,o,e,k,a,g
e,x,f,n,True,n,f,c,b,w,t,b,s,s,p,g,p,w,o,p,n,y,d
e,f,s,n,False,n,f,w,b,p,t,e,f,s,w,w,p,w,o,e,n,s,g
e,f,f,n,False,n,f,w,b,p,t,e,s,f,w,w,p,w,o,e,k,a,g
e,x,s,n,False,n,f,w,b,k,t,e,f,f,w,w,p,w,o,e,k,a,g
e,x,s,n,False,n,f,w,b,k,t,e,s,f,w,w,p,w,o,e,k,s,g
e,x,f,n,True,n,f,c,b,w,t,b,s,s,g,g,p,w,o,p,n,v,d
e,x,y,e,True,n,f,c,b,u,t,b,s,s,g,w,p,w,o,p,n,v,d
e,f,s,n,False,n,f,w,b,k,t,e,f,f,w,w,p,w,o,e,k,a,g
e,x,f,n,True,n,f,c,b,w,t,b,s,s,g,g,p,w,o,p,k,y,d
p,f,y,w,True,p,f,c,n,w,e,e,s,s,w,w,p,w,o,p,n,v,u
e,x,y,y,True,l,f,c,b,n,e,r,s,y,w,w,p,w,o,p,n,s,g
p,f,s,n,True,p,f,c,n,p,e,e,s,s,w,w,p,w,o,p,k,s,g
e,f,f,w,False,n,f,w,b,h,t,e,f,s,w,w,p,w,o,e,n,s,g
e,f,f,n,False,n,f,w,b,n,t,e,f,f,w,w,p,w,o,e,k,a,g
p,f,s,n,True,p,f,c,n,w,e,e,s,s,w,w,p,w,o,p,n,v,g
e,x,s,n,False,n,f,w,b,k,t,e,f,f,w,w,p,w,o,e,n,a,g
e,x,f,n,False,n,f,w,b,n,t,e,s,f,w,w,p,w,o,e,k,s,g
e,x,f,e,True,n,f,c,b,u,t,b,s,s,g,w,p,w,o,p,k,v,d
e,f,f,n,False,n,f,w,b,k,t,e,s,s,w,w,p,w,o,e,k,a,g
e,x,f,w,False,n,f,w,b,k,t,e,s,s,w,w,p,w,o,e,n,s,g
e,f,s,g,False,n,f,w,b,p,t,e,f,s,w,w,p,w,o,e,n,a,g
e,f,f,w,False,n,f,w,b,h,t,e,f,s,w,w,p,w,o,e,k,s,g
e,f,s,y,True,a,f,w,n,n,t,b,s,s,w,w,p,w,o,p,n,v,d
e,f,f,w,True,a,f,w,n,n,t,b,s,s,w,w,p,w,o,p,n,v,d
e,f,f,n,False,n,f,w,b,p,t,e,s,f,w,w,p,w,o,e,n,a,g
e,x,f,n,True,n,f,c,b,u,t,b,s,s,w,w,p,w,o,p,n,y,d
e,x,y,g,True,n,f,c,b,n,t,b,s,s,g,p,p,w,o,p,k,y,d
e,x,f,n,True,n,f,c,b,u,t,b,s,s,w,g,p,w,o,p,n,y,d
e,x,f,n,False,n,f,w,b,k,t,e,s,f,w,w,p,w,o,e,k,s,g
e,x,f,g,True,n,f,c,b,u,t,b,s,s,w,w,p,w,o,p,n,y,d
e,x,f,n,True,n,f,c,b,n,t,b,s,s,p,p,p,w,o,p,k,v,d
e,x,f,g,False,n,f,w,b,p,t,e,f,s,w,w,p,w,o,e,k,a,g
e,x,f,n,True,n,f,c,b,n,t,b,s,s,w,p,p,w,o,p,n,v,d
e,x,s,n,False,n,f,w,b,h,t,e,f,f,w,w,p,w,o,e,k,a,g
e,b,y,w,True,l,f,c,b,k,e,c,s,s,w,w,p,w,o,p,k,s,m
e,x,y,e,True,n,f,c,b,u,t,b,s,s,w,p,p,w,o,p,k,v,d
e,f,s,n,False,n,f,w,b,h,t,e,s,f,w,w,p,w,o,e,n,s,g
e,x,f,e,True,n,f,c,b,w,t,b,s,s,p,p,p,w,o,p,k,y,d
e,f,y,n,True,n,f,c,b,p,t,b,s,s,g,g,p,w,o,p,k,y,d
e,x,y,g,True,n,f,c,b,u,t,b,s,s,p,g,p,w,o,p,k,v,d
e,x,s,g,False,n,f,w,b,p,t,e,s,s,w,w,p,w,o,e,n,a,g
e,x,s,n,False,n,f,w,b,k,t,e,f,s,w,w,p,w,o,e,k,s,g
e,x,f,g,False,n,f,w,b,p,t,e,f,f,w,w,p,w,o,e,n,a,g
e,x,s,g,False,n,f,w,b,n,t,e,s,s,w,w,p,w,o,e,k,a,g
e,x,y,e,True,n,f,c,b,w,t,b,s,s,w,p,p,w,o,p,k,y,d
e,f,f,g,True,n,f,c,b,w,t,b,s,s,p,w,p,w,o,p,n,y,d
e,f,f,n,True,n,f,c,b,n,t,b,s,s,p,w,p,w,o,p,k,y,d
e,x,f,n,False,n,f,w,b,k,t,e,f,f,w,w,p,w,o,e,n,s,g
e,f,s,n,False,n,f,w,b,n,t,e,s,f,w,w,p,w,o,e,n,s,g
e,x,f,w,False,n,f,w,b,n,t,e,s,s,w,w,p,w,o,e,k,s,g
e,x,y,y,True,a,f,c,b,p,e,r,s,y,w,w,p,w,o,p,n,s,p
e,x,f,e,True,n,f,c,b,u,t,b,s,s,w,p,p,w,o,p,n,v,d
e,x,f,n,False,n,f,w,b,h,t,e,f,s,w,w,p,w,o,e,k,s,g
e,x,y,n,True,n,f,c,b,p,t,b,s,s,w,g,p,w,o,p,k,v,d
e,f,f,g,True,n,f,c,b,n,t,b,s,s,w,p,p,w,o,p,n,y,d
e,x,f,w,False,n,f,w,b,k,t,e,f,s,w,w,p,w,o,e,n,a,g
e,x,y,w,True,a,f,c,b,k,e,c,s,s,w,w,p,w,o,p,k,s,m
e,x,s,n,False,n,f,w,b,p,t,e,s,s,w,w,p,w,o,e,n,s,g
e,f,s,w,False,n,f,w,b,p,t,e,s,s,w,w,p,w,o,e,n,a,g
e,f,f,n,True,n,f,c,b,u,t,b,s,s,g,w,p,w,o,p,n,v,d
e,f,f,w,False,n,f,w,b,k,t,e,f,f,w,w,p,w,o,e,k,s,g
e,x,f,g,True,n,f,c,b,u,t,b,s,s,g,p,p,w,o,p,n,v,d
e,x,f,n,True,n,f,c,b,p,t,b,s,s,w,g,p,w,o,p,n,y,d
e,x,f,w,False,n,f,w,b,p,t,e,s,f,w,w,p,w,o,e,n,a,g
e,x,s,w,True,a,f,c,b,n,e,c,s,s,w,w,p,w,o,p,k,n,m
e,f,s,g,False,n,f,w,b,n,t,e,f,s,w,w,p,w,o,e,n,s,g
p,f,y,n,True,p,f,c,n,n,e,e,s,s,w,w,p,w,o,p,n,v,g
e,f,f,g,False,n,f,w,b,p,t,e,f,s,w,w,p,w,o,e,n,s,g
e,x,f,n,True,n,f,c,b,n,t,b,s,s,p,w,p,w,o,p,n,v,d
e,x,f,w,False,n,f,w,b,n,t,e,s,f,w,w,p,w,o,e,n,s,g
e,x,y,n,True,n,f,c,b,u,t,b,s,s,p,w,p,w,o,p,k,v,d
e,x,y,e,True,n,f,c,b,p,t,b,s,s,p,p,p,w,o,p,n,v,d
p,f,s,n,True,p,f,c,n,n,e,e,s,s,w,w,p,w,o,p,k,v,u
e,f,s,g,False,n,f,w,b,p,t,e,s,s,w,w,p,w,o,e,n,a,g
e,x,f,g,True,n,f,c,b,n,t,b,s,s,w,g,p,w,o,p,k,y,d
e,f,f,g,True,n,f,c,b,n,t,b,s,s,g,p,p,w,o,p,k,y,d
e,x,f,g,True,n,f,c,b,n,t,b,s,s,w,g,p,w,o,p,k,v,d
e,x,f,g,True,n,f,c,b,w,t,b,s,s,p,p,p,w,o,p,n,y,d
e,x,f,n,True,n,f,c,b,u,t,b,s,s,p,g,p,w,o,p,k,y,d
p,x,s,w,True,p,f,c,n,p,e,e,s,s,w,w,p,w,o,p,n,v,u
e,x,s,y,True,l,f,c,b,k,e,c,s,s,w,w,p,w,o,p,k,n,m
e,x,f,n,True,n,f,c,b,n,t,b,s,s,p,p,p,w,o,p,n,v,d
e,f,y,n,True,n,f,c,b,w,t,b,s,s,w,w,p,w,o,p,n,y,d
e,x,s,g,False,n,f,w,b,n,t,e,f,f,w,w,p,w,o,e,n,s,g
e,x,y,e,True,n,f,c,b,u,t,b,s,s,w,p,p,w,o,p,n,y,d
e,x,f,g,False,n,f,w,b,k,t,e,f,s,w,w,p,w,o,e,n,s,g
e,f,s,w,False,n,f,w,b,p,t,e,f,s,w,w,p,w,o,e,n,s,g
e,x,f,n,True,n,f,c,b,n,t,b,s,s,g,g,p,w,o,p,n,v,d
e,f,f,n,True,n,f,c,b,u,t,b,s,s,w,p,p,w,o,p,n,v,d
e,f,f,g,False,n,f,w,b,n,t,e,s,f,w,w,p,w,o,e,k,s,g
e,f,f,g,False,n,f,w,b,n,t,e,s,s,w,w,p,w,o,e,k,s,g
e,f,f,n,False,n,f,w,b,h,t,e,f,f,w,w,p,w,o,e,n,s,g
e,x,f,g,True,n,f,c,b,p,t,b,s,s,g,w,p,w,o,p,k,y,d
e,x,f,e,True,n,f,c,b,n,t,b,s,s,p,g,p,w,o,p,n,y,d
p,f,y,n,True,p,f,c,n,p,e,e,s,s,w,w,p,w,o,p,k,s,u
e,x,y,g,True,n,f,c,b,p,t,b,s,s,g,g,p,w,o,p,k,v,d
e,x,s,w,False,n,f,w,b,k,t,e,s,f,w,w,p,w,o,e,n,a,g
e,b,s,w,True,a,f,c,b,g,e,c,s,s,w,w,p,w,o,p,n,s,m
e,x,s,w,False,n,f,w,b,h,t,e,f,f,w,w,p,w,o,e,n,s,g
e,f,f,n,False,n,f,w,b,k,t,e,f,f,w,w,p,w,o,e,k,s,g
e,x,y,g,True,n,f,c,b,p,t,b,s,s,g,w,p,w,o,p,k,y,d
e,f,f,g,True,n,f,c,b,n,t,b,s,s,w,w,p,w,o,p,n,v,d
e,x,f,g,False,n,f,w,b,p,t,e,f,s,w,w,p,w,o,e,k,s,g
p,x,s,w,True,p,f,c,n,n,e,e,s,s,w,w,p,w,o,p,k,s,g
e,x,s,n,False,n,f,w,b,k,t,e,s,s,w,w,p,w,o,e,n,a,g
e,x,y,g,True,n,f,c,b,p,t,b,s,s,w,g,p,w,o,p,k,y,d
e,f,f,g,True,n,f,c,b,p,t,b,s,s,w,w,p,w,o,p,n,v,d
e,x,y,n,True,n,f,c,b,w,t,b,s,s,p,w,p,w,o,p,n,v,d
e,x,f,e,True,n,f,c,b,p,t,b,s,s,p,g,p,w,o,p,n,y,d
e,f,f,n,True,n,f,c,b,w,t,b,s,s,g,p,p,w,o,p,n,y,d
e,x,f,e,True,n,f,c,b,u,t,b,s,s,g,g,p,w,o,p,k,y,d
e,f,f,n,True,n,f,c,b,p,t,b,s,s,w,w,p,w,o,p,n,v,d
e,x,y,e,True,n,f,c,b,u,t,b,s,s,p,p,p,w,o,p,k,y,d
e,x,f,g,True,n,f,c,b,w,t,b,s,s,p,w,p,w,o,p,k,v,d
e,f,f,g,True,n,f,c,b,p,t,b,s,s,w,w,p,w,o,p,k,v,d
e,x,f,e,True,n,f,c,b,w,t,b,s,s,g,w,p,w,o,p,k,v,d
e,x,y,e,True,n,f,c,b,u,t,b,s,s,g,p,p,w,o,p,n,v,d
p,x,s,w,True,p,f,c,n,w,e,e,s,s,w,w,p,w,o,p,n,v,g
e,x,f,e,True,n,f,c,b,n,t,b,s,s,p,g,p,w,o,p,n,v,d
e,x,y,g,True,n,f,c,b,p,t,b,s,s,w,w,p,w,o,p,k,v,d
e,x,f,n,True,n,f,c,b,p,t,b,s,s,g,g,p,w,o,p,n,y,d
e,x,y,e,True,n,f,c,b,w,t,b,s,s,w,g,p,w,o,p,k,y,d
e,x,y,g,True,n,f,c,b,n,t,b,s,s,g,p,p,w,o,p,k,v,d
e,x,f,g,True,n,f,c,b,n,t,b,s,s,p,p,p,w,o,p,k,v,d
e,x,y,g,True,n,f,c,b,u,t,b,s,s,g,w,p,w,o,p,k,v,d
e,x,f,e,True,n,f,c,b,p,t,b,s,s,w,w,p,w,o,p,n,y,d
e,f,y,e,True,n,f,c,b,n,t,b,s,s,w,w,p,w,o,p,n,y,d
e,f,f,n,True,n,f,c,b,p,t,b,s,s,g,p,p,w,o,p,k,v,d
e,x,f,n,True,n,f,c,b,u,t,b,s,s,w,p,p,w,o,p,k,v,d
e,f,y,g,True,n,f,c,b,w,t,b,s,s,p,p,p,w,o,p,k,v,d
e,x,y,e,True,n,f,c,b,u,t,b,s,s,p,g,p,w,o,p,n,v,d
e,x,f,g,True,n,f,c,b,p,t,b,s,s,g,g,p,w,o,p,n,y,d
e,x,y,g,True,n,f,c,b,n,t,b,s,s,w,p,p,w,o,p,k,v,d
p,x,f,g,False,f,f,c,b,p,e,b,k,k,b,b,p,w,o,l,h,y,g
p,f,s,w,True,p,f,c,n,p,e,e,s,s,w,w,p,w,o,p,k,s,g
e,x,f,e,True,n,f,c,b,n,t,b,s,s,p,w,p,w,o,p,k,v,d
e,x,f,w,False,n,f,w,b,h,t,e,s,s,w,w,p,w,o,e,n,s,g
e,x,y,n,True,n,f,c,b,u,t,b,s,s,g,w,p,w,o,p,n,v,d
e,f,f,n,True,n,f,c,b,n,t,b,s,s,g,w,p,w,o,p,n,y,d
e,x,f,n,True,n,f,c,b,w,t,b,s,s,p,g,p,w,o,p,n,v,d
e,x,y,g,True,n,f,c,b,u,t,b,s,s,p,w,p,w,o,p,n,y,d
e,x,y,g,True,n,f,c,b,w,t,b,s,s,g,w,p,w,o,p,n,v,d
e,x,f,e,True,n,f,c,b,u,t,b,s,s,w,p,p,w,o,p,k,v,d
e,x,y,n,True,n,f,c,b,n,t,b,s,s,w,g,p,w,o,p,n,y,d
e,x,f,g,True,n,f,c,b,w,t,b,s,s,p,g,p,w,o,p,k,y,d
e,x,f,e,True,n,f,c,b,w,t,b,s,s,p,w,p,w,o,p,k,v,d
e,x,y,e,True,n,f,c,b,u,t,b,s,s,w,g,p,w,o,p,k,v,d
e,x,y,n,True,n,f,c,b,p,t,b,s,s,p,w,p,w,o,p,n,y,d
e,x,y,e,True,n,f,c,b,n,t,b,s,s,w,w,p,w,o,p,k,y,d
e,f,y,n,True,n,f,c,b,p,t,b,s,s,w,g,p,w,o,p,n,v,d
e,f,y,n,True,n,f,c,b,n,t,b,s,s,p,w,p,w,o,p,k,v,d
e,x,y,n,True,n,f,c,b,n,t,b,s,s,g,g,p,w,o,p,n,v,d
p,f,s,n,True,p,f,c,n,n,e,e,s,s,w,w,p,w,o,p,n,v,u
e,f,f,e,True,n,f,c,b,u,t,b,s,s,w,w,p,w,o,p,n,y,d
p,x,s,w,True,p,f,c,n,w,e,e,s,s,w,w,p,w,o,p,k,s,g
e,x,f,e,True,n,f,c,b,u,t,b,s,s,g,p,p,w,o,p,k,y,d
e,f,f,n,True,n,f,c,b,p,t,b,s,s,g,g,p,w,o,p,k,y,d
e,x,y,n,True,n,f,c,b,u,t,b,s,s,p,g,p,w,o,p,n,v,d
e,f,f,e,True,n,f,c,b,p,t,b,s,s,w,g,p,w,o,p,n,v,d
e,x,f,e,True,n,f,c,b,n,t,b,s,s,w,g,p,w,o,p,n,y,d
e,x,f,g,True,n,f,c,b,p,t,b,s,s,g,p,p,w,o,p,n,v,d
e,x,y,n,True,n,f,c,b,n,t,b,s,s,p,g,p,w,o,p,n,y,d
e,f,f,n,True,n,f,c,b,u,t,b,s,s,w,g,p,w,o,p,n,v,d
e,f,f,n,True,n,f,c,b,w,t,b,s,s,p,p,p,w,o,p,n,y,d
e,x,f,e,True,n,f,c,b,u,t,b,s,s,w,g,p,w,o,p,k,v,d
e,x,f,n,True,n,f,c,b,u,t,b,s,s,w,g,p,w,o,p,k,y,d
e,x,f,e,True,n,f,c,b,p,t,b,s,s,g,w,p,w,o,p,n,y,d
e,f,f,g,True,n,f,c,b,p,t,b,s,s,g,p,p,w,o,p,k,v,d
e,x,y,n,True,n,f,c,b,u,t,b,s,s,w,p,p,w,o,p,k,y,d
e,f,f,n,True,n,f,c,b,u,t,b,s,s,w,p,p,w,o,p,n,y,d
e,x,f,e,True,n,f,c,b,n,t,b,s,s,w,p,p,w,o,p,n,y,d
e,x,y,e,True,n,f,c,b,w,t,b,s,s,p,w,p,w,o,p,n,y,d
e,x,f,g,True,n,f,c,b,p,t,b,s,s,p,g,p,w,o,p,k,y,d
e,x,y,g,True,n,f,c,b,n,t,b,s,s,g,g,p,w,o,p,k,y,d
e,x,y,e,True,n,f,c,b,p,t,b,s,s,p,g,p,w,o,p,n,v,d
e,x,y,g,True,n,f,c,b,p,t,b,s,s,g,p,p,w,o,p,k,v,d
e,x,f,g,True,n,f,c,b,n,t,b,s,s,g,g,p,w,o,p,n,v,d
e,f,f,g,True,n,f,c,b,n,t,b,s,s,g,g,p,w,o,p,n,v,d
e,x,y,g,True,n,f,c,b,n,t,b,s,s,g,w,p,w,o,p,k,v,d
e,x,y,e,True,n,f,c,b,n,t,b,s,s,w,g,p,w,o,p,n,y,d
e,f,f,n,True,n,f,c,b,p,t,b,s,s,w,p,p,w,o,p,k,v,d
e,f,f,n,True,n,f,c,b,w,t,b,s,s,g,w,p,w,o,p,k,y,d
e,x,y,e,True,n,f,c,b,p,t,b,s,s,w,w,p,w,o,p,n,v,d
p,x,f,g,False,f,f,c,b,p,e,b,k,k,n,p,p,w,o,l,h,y,d
e,x,y,g,True,n,f,c,b,u,t,b,s,s,p,w,p,w,o,p,k,y,d
e,x,f,e,True,n,f,c,b,w,t,b,s,s,p,g,p,w,o,p,n,y,d
e,x,y,n,True,n,f,c,b,u,t,b,s,s,g,p,p,w,o,p,n,v,d
e,f,f,n,True,n,f,c,b,p,t,b,s,s,g,w,p,w,o,p,n,y,d
e,x,y,e,True,n,f,c,b,w,t,b,s,s,g,p,p,w,o,p,k,v,d
e,f,f,n,True,n,f,c,b,p,t,b,s,s,g,g,p,w,o,p,k,v,d
e,f,y,n,True,n,f,c,b,p,t,b,s,s,w,g,p,w,o,p,k,y,d
e,f,f,g,True,n,f,c,b,p,t,b,s,s,w,p,p,w,o,p,k,y,d
e,x,f,e,True,n,f,c,b,n,t,b,s,s,p,w,p,w,o,p,k,y,d
e,x,f,g,True,n,f,c,b,w,t,b,s,s,g,p,p,w,o,p,k,v,d
e,x,f,g,True,n,f,c,b,u,t,b,s,s,g,w,p,w,o,p,n,v,d
e,x,f,n,True,n,f,c,b,u,t,b,s,s,p,w,p,w,o,p,k,v,d
e,x,f,g,True,n,f,c,b,w,t,b,s,s,w,g,p,w,o,p,k,y,d
e,x,s,g,False,n,f,w,b,k,t,e,s,s,w,w,p,w,o,e,n,s,g
e,x,y,e,True,n,f,c,b,u,t,b,s,s,p,g,p,w,o,p,k,y,d
e,f,f,g,True,n,f,c,b,p,t,b,s,s,p,g,p,w,o,p,k,y,d
e,x,y,e,True,n,f,c,b,n,t,b,s,s,g,w,p,w,o,p,n,v,d
e,f,f,g,True,n,f,c,b,n,t,b,s,s,g,p,p,w,o,p,k,v,d
e,x,f,g,True,n,f,c,b,u,t,b,s,s,w,p,p,w,o,p,k,y,d
e,x,f,g,True,n,f,c,b,n,t,b,s,s,p,p,p,w,o,p,n,v,d
e,f,f,g,True,n,f,c,b,p,t,b,s,s,w,p,p,w,o,p,n,y,d
e,x,s,w,False,n,f,w,b,p,t,e,s,f,w,w,p,w,o,e,n,a,g
e,x,f,n,True,n,f,c,b,w,t,b,s,s,g,w,p,w,o,p,n,y,d
e,f,f,n,True,n,f,c,b,w,t,b,s,s,p,p,p,w,o,p,k,v,d
e,f,f,g,True,n,f,c,b,p,t,b,s,s,g,g,p,w,o,p,k,y,d
e,x,y,g,True,n,f,c,b,w,t,b,s,s,w,w,p,w,o,p,k,y,d
e,x,f,e,True,n,f,c,b,u,t,b,s,s,w,w,p,w,o,p,n,v,d
e,x,y,e,True,n,f,c,b,u,t,b,s,s,g,p,p,w,o,p,k,v,d
e,x,f,n,True,n,f,c,b,w,t,b,s,s,g,p,p,w,o,p,k,y,d
e,f,y,g,True,n,f,c,b,w,t,b,s,s,w,w,p,w,o,p,k,y,d
e,x,y,g,True,n,f,c,b,w,t,b,s,s,p,p,p,w,o,p,n,v,d
p,x,s,p,False,c,f,w,n,g,e,b,s,s,w,w,p,w,o,p,n,s,d
e,x,y,n,True,n,f,c,b,p,t,b,s,s,g,p,p,w,o,p,n,y,d
e,f,f,g,True,n,f,c,b,n,t,b,s,s,p,w,p,w,o,p,k,v,d
e,x,y,e,True,n,f,c,b,p,t,b,s,s,w,p,p,w,o,p,k,y,d
e,f,f,n,True,n,f,c,b,p,t,b,s,s,p,w,p,w,o,p,n,v,d
e,x,y,n,True,n,f,c,b,w,t,b,s,s,w,g,p,w,o,p,n,v,d
e,x,f,g,True,n,f,c,b,w,t,b,s,s,g,w,p,w,o,p,n,y,d
e,f,f,n,True,n,f,c,b,p,t,b,s,s,g,w,p,w,o,p,n,v,d
e,x,y,n,True,n,f,c,b,n,t,b,s,s,p,w,p,w,o,p,k,v,d
e,x,y,n,True,n,f,c,b,w,t,b,s,s,p,w,p,w,o,p,k,v,d
e,x,f,e,True,n,f,c,b,w,t,b,s,s,p,w,p,w,o,p,n,v,d
e,f,f,g,True,n,f,c,b,p,t,b,s,s,w,p,p,w,o,p,k,v,d
e,x,y,e,True,n,f,c,b,n,t,b,s,s,w,w,p,w,o,p,n,v,d
e,x,y,e,True,n,f,c,b,u,t,b,s,s,g,g,p,w,o,p,n,v,d
e,f,f,n,True,n,f,c,b,w,t,b,s,s,p,g,p,w,o,p,n,y,d
e,x,f,e,True,n,f,c,b,p,t,b,s,s,w,p,p,w,o,p,k,v,d
e,x,f,e,True,n,f,c,b,n,t,b,s,s,p,p,p,w,o,p,n,y,d
e,x,f,w,False,n,f,w,b,k,t,e,f,f,w,w,p,w,o,e,n,s,g
e,x,y,g,True,n,f,c,b,p,t,b,s,s,g,g,p,w,o,p,k,y,d
e,x,f,e,True,n,f,c,b,p,t,b,s,s,g,w,p,w,o,p,k,v,d
e,x,y,g,True,n,f,c,b,p,t,b,s,s,p,w,p,w,o,p,n,v,d
e,x,f,e,True,n,f,c,b,w,t,b,s,s,w,p,p,w,o,p,k,v,d
e,x,f,g,True,n,f,c,b,p,t,b,s,s,w,w,p,w,o,p,n,y,d
e,f,y,e,True,n,f,c,b,p,t,b,s,s,w,g,p,w,o,p,n,v,d
